compound,Bonds,Aromatic,Ring,Atom_C,Atom_N,Atom_O,Hybridization_SP2,Hybridization_SP3,LogP,HBD,HBA,TPSA,MW,RB,Drug
amlodipine,58,6,12,20,2,5,17,11,63.4564,56,196,2796.64,11448.696000000004,224,1
atenolol,38,6,6,14,2,3,10,9,8.589899999999995,57,76,1607.02,5060.479,152,1
atorvastatin,88,23,23,33,2,5,29,12,258.8576000000003,164,205,4583.390000000001,22904.65000000001,492,1
azithromycin,108,0,27,38,2,12,3,49,98.83640000000058,260,728,9364.16,38947.792,364,1
bisoprolol,46,6,6,18,1,4,7,16,54.41569999999998,46,115,1378.85,7485.327000000001,276,1
calcium_carbonate,6,0,0,1,0,3,4,0,-14.139,0,15,315.95,500.43,0,0
carbamazepine,40,12,15,15,2,1,18,0,60.96960000000003,18,18,833.9399999999999,4252.932,0,1
cephalexin,52,6,14,16,3,4,17,7,10.677600000000028,72,120,2705.52,8337.504,96,1
citric_acid,24,0,0,6,0,7,9,4,-16.2305,52,52,1717.69,2497.599,65,0
clopidogrel,46,11,15,16,1,2,14,7,77.15190000000003,0,84,620.34,6758.409000000001,63,1
doxycycline,70,6,18,22,2,8,20,12,-16.1344,192,288,5811.84,14222.080000000007,64,1
ethanolamine,6,0,0,2,1,1,0,4,-4.2504,8,8,185.0,244.336,4,0
fluoxetine,46,12,12,17,1,1,13,9,97.57000000000008,22,44,467.72,6805.282000000002,132,1
furosemide,44,11,11,12,2,5,17,4,39.7047,63,105,2575.23,6945.729000000002,105,1
glycerol,10,0,0,3,0,3,0,6,-10.0086,18,18,364.14,552.564,12,0
isopropyl_alcohol,6,0,0,3,0,1,0,4,1.5484,4,4,80.92,240.384,0,0
losartan,66,22,22,22,6,1,22,8,128.00400000000008,60,180,2775.3,12687.600000000002,240,1
methylparaben,22,6,6,8,0,3,10,1,12.9668,11,33,511.83,1673.6389999999997,11,0
montelukast,90,22,25,35,1,3,27,14,366.8680000000001,82,164,2887.2200000000003,24034.07700000001,492,1
nifedipine,52,6,12,17,2,6,20,5,54.39000000000001,25,175,2694.25,8658.475000000002,100,1
omeprazole,52,15,15,17,3,3,18,6,69.59376000000003,24,120,1850.4,8290.176000000003,120,1
pioglitazone,54,12,17,19,2,3,18,7,78.99000000000005,25,125,1707.2500000000002,8911.175000000003,175,1
propylene_glycol,8,0,0,3,0,2,0,5,-3.2025,10,10,202.3,380.4750000000001,5,0
rosuvastatin,68,12,12,22,3,6,20,13,79.25610000000003,99,231,4650.360000000001,15891.01800000001,330,1
sertraline,44,12,16,17,1,0,12,8,103.59200000000008,20,20,240.6,6124.720000000001,40,1
sodium_lauryl_sulfate,32,0,0,12,0,4,2,15,6.985799999999993,0,72,1195.7400000000002,5190.93,216,0
sorbitol,22,0,0,6,0,6,0,12,-43.0248,72,72,1456.56,2186.064,60,0
stearic_acid,38,0,0,18,0,2,3,17,126.65000000000012,20,20,746.0,5689.679999999999,320,0
tramadol,40,6,12,16,1,2,7,12,50.057400000000015,19,57,621.3000000000001,5004.2390000000005,76,1
valproic_acid,18,0,0,8,0,2,3,7,22.874,10,10,373.0,1442.14,50,1
amoxicillin,54,6,13,16,3,5,16,9,0.5925000000000274,100,150,3324.0,9135.275000000003,100,1
aspirin,26,6,6,9,0,4,12,1,17.0313,13,39,826.8000000000001,2342.067,26,1
caffeine,30,9,9,8,4,2,11,3,-14.4102,0,84,865.48,2718.716,0,1
cholesteryl_oleate,100,0,17,45,0,2,7,40,656.9236999999987,0,94,1236.1,30602.499000000003,987,0
diazepam,44,12,17,16,2,1,17,3,63.07600000000002,0,40,653.4000000000001,5694.92,20,1
dodecane,22,0,0,12,0,0,0,12,59.12640000000005,0,0,0.0,2044.08,108,0
hexadecane,30,0,0,16,0,0,0,16,103.80160000000012,0,0,0.0,3623.167999999999,208,0
ibuprofen,30,6,6,13,0,2,9,6,46.09800000000003,15,15,559.5,3094.275,60,1
ketoconazole,80,17,28,26,4,4,22,14,151.40880000000016,0,252,2486.16,19131.84000000001,252,1
lauric_acid,26,0,0,12,0,2,3,11,55.88660000000005,14,14,522.1999999999999,2804.508,140,0
lidocaine,34,6,6,14,2,1,9,8,43.92358000000001,17,34,549.7800000000001,3983.831,85,1
lignin,66,16,16,18,3,8,26,5,-107.7318,66,330,6218.849999999999,16811.15700000001,165,0
loratadine,60,12,21,22,2,2,18,9,131.9706000000001,0,81,1145.61,10338.057000000004,27,1
metformin,18,0,0,4,5,0,7,2,-12.4383,30,10,914.9,1291.67,0,1
naproxen,36,10,10,14,0,3,14,3,51.62050000000004,17,34,791.01,3914.471,51,1
octacosane,54,0,0,28,0,0,0,28,312.72639999999967,0,0,0.0,11053.616000000007,700,0
paracetamol,22,6,6,8,1,2,10,1,14.856599999999998,22,22,542.63,1662.8149999999996,11,1
propranolol,40,10,10,16,1,2,11,8,48.97250000000002,38,57,788.3100000000001,4927.630999999999,114,1
ranitidine,42,5,5,13,4,3,12,9,30.639000000000003,42,147,1755.1800000000003,6602.631000000001,210,1
simvastatin,64,0,16,25,0,5,10,20,137.56800000000015,30,150,2184.9,12557.220000000005,180,1
tamoxifen,60,18,18,26,1,1,21,7,167.89080000000018,0,56,349.16,10402.672000000002,224,1
triton_x-100,36,6,6,16,0,2,7,11,67.88700000000006,18,36,530.28,4506.875999999999,90,0
